"AllocatedMemoryInMb","AppAndRoleApplication","AppAndRoleBizTalkServer","AppAndRoleExchangeServer","AppAndRoleFeature","AppAndRoleOtherDatabase","AppAndRoleSharePointServer","AppAndRoleSqlServer","AppAndRoleSystemCenter","AppAndRoleWebApplication","BiosGuid","BiosSerialNumber","ClusterFqdn","ClusterId","CreatedTimestamp","Disk","DisplayName","Error","Firmware","Generation","GuestDetailsDiscoveryTimestamp","GuestOSDetailOsname","GuestOSDetailOstype","GuestOSDetailOsversion","HighAvailability","HostFqdn","HostId","Id","InstanceUuid","IsDeleted","IsDynamicMemoryEnabled","IsGuestDetailsDiscoveryInProgress","ManagementServerType","MaxMemoryMb","Name","NetworkAdapter","NumberOfApplication","NumberOfProcessorCore","OperatingSystemDetailOSName","OperatingSystemDetailOSType","OperatingSystemDetailOSVersion","PowerStatus","Type","UpdatedTimestamp","VMConfigurationFileLocation","VMFqdn","Version"
"16384",,,,,,,,,,"A121B655-7079-4170-9B51-DE7C37ADEFA9","8528-2837-8519-9268-2374-8420-82","HICP1326_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/clusters/hicp1326-clu-olcc-lan-dfe304fe-4c9c-4a21-8ab7-565af1ada800","2025-02-11T20:29:34.0017813Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICU2386","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","UEFI","2","2/13/2025 3:21:02 AM","Microsoft Windows Server 2019 Standard","Windows","10.0.17763","Yes","HICP1326A",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/machines/12bd3500-1fa7-4912-88f9-22bb2f8e0a5a","12bd3500-1fa7-4912-88f9-22bb2f8e0a5a","False","False","False","Cluster","1048576","12bd3500-1fa7-4912-88f9-22bb2f8e0a5a","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","23","8","Windows Server 2019 Standard","windowsguest","10.0.17763","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-13T03:21:02.8414615Z","C:\ClusterStorage\Volume2\HICU2386\Virtual Machines\12BD3500-1FA7-4912-88F9-22BB2F8E0A5A.VMCX","HICU2386.olcc.lan","9.0"
"24576",,,,,,,,,,"28F5F597-EAFA-4BB9-8D58-DE06AA0216D9","4932-6270-2175-0405-4252-6210-64","HICP1310_Clu.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/clusters/hicp1310-clu-olcc-lan-4fb0bd14-3fa8-4561-ad74-93b04087d47c","2025-02-11T20:29:34.2674156Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICP3822","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","UEFI","2","2/13/2025 3:20:44 AM","Red Hat Enterprise Linux","Linux","8.3","Yes","HICP1313",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/machines/15248842-84f2-4cc1-9651-8763775b72e6","15248842-84f2-4cc1-9651-8763775b72e6","False","False","False","Cluster","1048576","15248842-84f2-4cc1-9651-8763775b72e6","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","36","6","Red Hat Enterprise Linux","linuxguest","4.18.0","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-13T03:20:44.3410814Z","C:\ClusterStorage\Volume3\HICP3822\Virtual Machines\15248842-84F2-4CC1-9651-8763775B72E6.VMCX","HICP3822.olcc.lan","9.0"
"4096",,,,,,,,,,"28F5F597-EAFA-4BB9-8D58-DE06AA0216D9","4932-6270-2175-0405-4252-6210-64","HICP1310_Clu.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/clusters/hicp1310-clu-olcc-lan-4fb0bd14-3fa8-4561-ad74-93b04087d47c","2025-02-11T20:29:34.7518090Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICP3514","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","UEFI","2",,,,,"Yes","HICP1316",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/machines/77267cb5-c10e-4186-9fca-263bbabcacd6","77267cb5-c10e-4186-9fca-263bbabcacd6","False","False","True","Cluster","1048576","77267cb5-c10e-4186-9fca-263bbabcacd6","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","-1","2",,"otherguestfamily",,"PowerOff","Microsoft.OffAzure/HyperVSites/machines","2025-02-13T03:22:11.3259856Z","C:\ClusterStorage\Volume3\HICP3514\Virtual Machines\77267CB5-C10E-4186-9FCA-263BBABCACD6.VMCX","","9.0"
"4096",,,,,,,,,,"7C3E7777-E056-4083-9F97-83B644B91169","5205-8532-0447-1875-7945-8688-57","HICP1326_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/clusters/hicp1326-clu-olcc-lan-dfe304fe-4c9c-4a21-8ab7-565af1ada800","2025-02-11T20:29:35.0018287Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICT2902A","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","UEFI","2","2/13/2025 3:19:11 AM","Microsoft Windows Server 2019 Standard","Windows","10.0.17763","Yes","HICP1326B",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/machines/0fd26733-1490-4f3a-a8c0-e3749651dee2","0fd26733-1490-4f3a-a8c0-e3749651dee2","False","False","False","Cluster","1048576","0fd26733-1490-4f3a-a8c0-e3749651dee2","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","21","2","Windows Server 2019 Standard","windowsguest","10.0.17763","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-13T15:05:55.4656224Z","C:\ClusterStorage\Volume1\HICT2902A\Virtual Machines\0FD26733-1490-4F3A-A8C0-E3749651DEE2.VMCX","HICT2902A.olcc.lan","9.0"
"4096",,,,,,,,,,"42398880-3CBE-4A19-8C5A-BBCEDE9091DB","5128-5747-2102-4494-5595-1644-18","HICP1310_Clu.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/clusters/hicp1310-clu-olcc-lan-4fb0bd14-3fa8-4561-ad74-93b04087d47c","2025-02-11T20:29:35.2518155Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICP2190","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","UEFI","2",,,,,"Yes","HICP1319",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/machines/85be74c4-157c-4b47-bb27-77a77467afc8","85be74c4-157c-4b47-bb27-77a77467afc8","False","False","True","Cluster","1048576","85be74c4-157c-4b47-bb27-77a77467afc8","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","-1","2","Windows 10 Enterprise","windowsguest","10.0.19045","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-13T03:22:01.5651485Z","C:\ClusterStorage\Volume3\HICP2190\Virtual Machines\85BE74C4-157C-4B47-BB27-77A77467AFC8.VMCX","HICP2190.olcc.lan","9.0"
"8192",,,,,,,,,,"A428025E-AB03-4025-AE1D-C2B61F506731","5674-9466-4039-4075-0262-5305-64","HICP1326_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/clusters/hicp1326-clu-olcc-lan-dfe304fe-4c9c-4a21-8ab7-565af1ada800","2025-02-11T20:29:35.7517993Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICU2225A","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","UEFI","2","2/13/2025 3:19:36 AM","Microsoft Windows Server 2019 Standard","Windows","10.0.17763","Yes","HICP1326C",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/machines/f0396029-5719-46ae-83df-9fa353710db6","f0396029-5719-46ae-83df-9fa353710db6","False","False","False","Cluster","1048576","f0396029-5719-46ae-83df-9fa353710db6","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","23","4","Windows Server 2019 Standard","windowsguest","10.0.17763","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-13T15:05:55.5905467Z","C:\ClusterStorage\Volume1\HICU2225A\Virtual Machines\F0396029-5719-46AE-83DF-9FA353710DB6.VMCX","HICU2225A.olcc.lan","9.0"
"8192",,,,,,,,,,"6831A029-6747-4D8A-8E63-D8173B23D859","1744-6470-8688-5560-4044-4469-42","HICP1310_Clu.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/clusters/hicp1310-clu-olcc-lan-4fb0bd14-3fa8-4561-ad74-93b04087d47c","2025-02-11T20:29:36.0018262Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICP2005","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","BIOS","1",,,,,"Yes","HICP1311",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/machines/acc705f4-cbe0-4259-9062-ba138758a840","acc705f4-cbe0-4259-9062-ba138758a840","False","False","True","Cluster","65536","acc705f4-cbe0-4259-9062-ba138758a840","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","-1","4",,"otherguestfamily",,"Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-13T03:22:24.6542744Z","C:\ClusterStorage\Volume3\HICP2005\Virtual Machines\ACC705F4-CBE0-4259-9062-BA138758A840.VMCX","","9.0"
"2048",,,,,,,,,,"C7DA4F4C-6873-4F99-A651-39B85A273555","9050-9377-4340-5394-8396-1447-93","HICP1326_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/clusters/hicp1326-clu-olcc-lan-dfe304fe-4c9c-4a21-8ab7-565af1ada800","2025-02-11T20:29:36.2518341Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","OLSOLRUAT","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","BIOS","1",,,,,"Yes","HICP1326B",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/machines/6a6a8183-89eb-4f3a-a4d1-50f56803266b","6a6a8183-89eb-4f3a-a4d1-50f56803266b","False","False","True","Cluster","65536","6a6a8183-89eb-4f3a-a4d1-50f56803266b","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","-1","1",,"otherguestfamily",,"Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-13T03:46:57.8289423Z","C:\ClusterStorage\Volume1\OLSOLRUAT\Virtual Machines\6A6A8183-89EB-4F3A-A4D1-50F56803266B.VMCX","","9.0"
"24576",,,,,,,,,,"393F37A0-D0BF-4E78-992E-5C768C466D83","8802-8527-6929-5853-2777-2331-19","HICP1310_Clu.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/clusters/hicp1310-clu-olcc-lan-4fb0bd14-3fa8-4561-ad74-93b04087d47c","2025-02-11T20:29:36.5018217Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICP3813","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","UEFI","2","2/13/2025 3:21:02 AM","Red Hat Enterprise Linux","Linux","8.4","Yes","HICP1311",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/machines/6a90a9cb-da73-43a1-8966-7e2b4ad64241","6a90a9cb-da73-43a1-8966-7e2b4ad64241","False","False","False","Cluster","1048576","6a90a9cb-da73-43a1-8966-7e2b4ad64241","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","66","6","Red Hat Enterprise Linux","linuxguest","4.18.0","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-13T03:21:02.0914447Z","C:\ClusterStorage\Volume13\HICP3813\Virtual Machines\6A90A9CB-DA73-43A1-8966-7E2B4AD64241.VMCX","HICP3813.olcc.lan","9.0"
"4096",,,,,,,,,,"6E197B85-DC41-4E13-B1CE-D342027333EB","9723-3618-0759-7188-0342-2252-57","HICP1310_Clu.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/clusters/hicp1310-clu-olcc-lan-4fb0bd14-3fa8-4561-ad74-93b04087d47c","2025-02-11T20:29:36.7518314Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","OLLINADM","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","BIOS","1",,,,,"Yes","HICP1319",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/HyperVSites/HYPV-AZ-MIGVA24225site/machines/b6544678-676f-4627-88ae-a304b1cec17d","b6544678-676f-4627-88ae-a304b1cec17d","False","False","True","Cluster","65536","b6544678-676f-4627-88ae-a304b1cec17d","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","-1","2",,"otherguestfamily",,"Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-13T03:22:14.5760447Z","C:\ClusterStorage\Volume2\OLLINADM\Virtual Machines\B6544678-676F-4627-88AE-A304B1CEC17D.VMCX","","9.0"
