Machine Name,Server IP Addresses,Discovery Source,Server Host Type,SQL Instance,SQL Database name,Database size (MB),Compatibility Level,DB Status,SQL Version,SQL Edition,Total DB size (MB),Failover Cluster,Availability Group,Server Cores,Server Storage,Server Memory (MB),Server Disks,Operating System,Last updated time,First discovered time
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,default_qc_demo_db0,43 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:14:06 AM,2/11/2025 8:42:15 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,olcc_attunity_db,12 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:17 AM,2/11/2025 8:42:20 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,TSW,OLRCUSTOMRCI,712 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),466045 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:53 AM,2/11/2025 8:42:24 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,default_test_db,11 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:42 AM,2/11/2025 8:42:25 PM
HICU6501C,192.168.130.174;fe80::75cb:a12d:62bc:30eb;192.168.130.173;fe80::de5:f28c:1d33:3f2d;10.17.17.178;10.17.17.170;10.17.17.165;10.17.17.163;10.17.17.150;10.17.17.137;10.17.17.102;fe80::c88b:e444:5d26:ae78,HICU6501C,Physical,TSW,OLRCUSTOM,13789 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),385104 MB,Yes,No,24,7180.75667381287 GB,524015 MB,18,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:54 AM,2/11/2025 8:42:26 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,olcc_prestigetier_db,14 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:32 AM,2/11/2025 8:42:28 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,ECOM,OLRHOLIDEX,7324 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),242284 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:14 AM,2/11/2025 8:42:29 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,olcc_pci_db,15 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:13 AM,2/11/2025 8:42:29 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,olcc_enterprise_reporting_db,12 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:32 AM,2/11/2025 8:42:35 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,default_qc_demo_db,45 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:34 AM,2/11/2025 8:42:38 PM
